CODE;LON;LAT;AIR_TEMP;CANOPY_TEMP;HUM;GROUND_HUM;WIND_SPEED;PRESSURE;IR_RAD;UV_RAD
1;8.227124304;44.74171983;33.5;21.47;40.08;19.5;0.4;976.76;65535;857
2;8.227113999;44.74179817;32.58;25.8;37.54;25.3;1;976.81;65535;928
3;8.22710292;44.74189059;32.13;22.61;40.83;15.9;1;976.68;65535;1508
4;8.227093386;44.74197331;31.86;21.74;37.27;17.4;1;976.64;65535;828
5;8.227076989;44.74206798;31.65;22.61;36.62;19.6;0.5;976.77;65535;834
6;8.227069309;44.74215269;31.58;21.09;37.12;16;0.8;976.76;65535;906
7;8.227187273;44.74215693;30.84;22.82;44.48;22.2;0.7;977.11;65535;909
8;8.227200364;44.74207198;29.09;22.88;42.38;11.7;0.9;977.09;65535;858
9;8.227216375;44.74198154;29.34;22.26;42.11;22.1;0.4;977.19;65535;1136
10;8.227224098;44.74190195;30.04;25.24;44.43;22.6;0;977.05;65535;893
11;8.227234629;44.74181396;30.67;23.27;42.8;27;0.1;977.29;65535;945
12;8.227243764;44.74173593;31.54;24.3;43.36;29.4;0.6;977.33;65535;1138
13;8.227334433;44.74174978;28.24;22.56;43.1;18.5;1.1;977.51;65535;782
14;8.227325171;44.74182716;27.61;24.18;42.67;18.3;0.4;977.14;65535;1258
15;8.227314122;44.74190929;26.97;23.05;42.01;16.7;1.5;977.47;65535;606
16;8.227300304;44.74199061;27.57;26.02;43.29;19.2;1.5;976.98;65535;1214
17;8.227291813;44.74207788;27.79;23.18;41.01;18.7;1.1;977.42;65535;1014
18;8.227279916;44.74216423;28.11;23.71;41.84;26.1;1.8;977.35;65535;1274
19;8.227397904;44.74216913;28.15;24.98;42.04;18.7;0.5;977.38;65535;806
20;8.227409526;44.74208488;28.61;23.51;41.89;23.5;0.6;977.62;65535;829
21;8.227422705;44.74199857;29.98;24.64;43.49;23.1;0.8;977.5;65535;984
22;8.227431489;44.74191266;30.93;25.75;43.9;15.6;0.8;977.7;65535;1332
23;8.227442056;44.74183508;31.05;25.42;41.62;16.5;1.1;977.67;65535;1446
24;8.227456908;44.74176241;32.14;25.45;44.99;17.5;1.1;977.7;65535;1894
25;8.227562635;44.74178057;30.29;24.69;42.22;18;0.4;978.18;65535;1571
26;8.227551803;44.7418496;30.32;27.09;42.98;21;0.9;978.18;65535;1982
27;8.227542827;44.74192343;30.41;26.26;42.76;22.6;0.8;978.15;65535;2016
28;8.227534695;44.74200487;30.62;28.4;44.3;21.2;0.4;978.09;65535;1957
29;8.227525301;44.74208168;30.36;26.73;43.48;18.6;1;977.77;65535;1785
30;8.227509633;44.74217187;31.04;24.54;42.92;14.8;0.9;977.92;65535;1024
31;8.227632327;44.74218127;29.94;23.18;42.79;14.4;1;978.36;65535;1459
32;8.227640999;44.74208638;31.45;27.51;42.38;13.8;0.6;977.84;65535;1775
33;8.227650731;44.74200657;31.71;26.24;41.07;21.4;1.2;978.26;65535;1752
34;8.227657037;44.74193354;33.12;28.4;42.15;20.6;0.6;978.31;65535;1711
35;8.227668419;44.7418666;33.03;25.62;40.69;17.7;0.8;978.39;65535;2031
36;8.227677711;44.74179835;33.36;26.74;40.41;14.9;0.2;978.35;65535;2180
37;8.227815582;44.74182116;32.82;31.96;44.14;23.2;0.4;978.87;65535;1036
38;8.227809431;44.74189586;31.5;26.1;43.33;23.2;1.2;978.79;65535;1231
39;8.227801066;44.74195874;30.93;27.5;42.51;;1.2;978.6;65535;2186
40;8.227787863;44.74204193;30.14;29.64;38.78;;0.2;979.04;65535;1971
41;8.227779991;44.7421115;31.81;30.16;40.65;;0.9;978.85;65535;2473
42;8.227762627;44.74219563;30.6;26.33;39.47;;0.5;978.76;65535;2387
