CODE;LON;LAT;AIR_TEMP;CANOPY_TEMP;HUM;GROUND_HUM;WIND_SPEED;PRESSURE;IR_RAD;UV_RAD
1;8.228940906;44.74308624;31.52;28.3;38.56;20.4;1.4;980.46;65535;2009
2;8.228927941;44.74315527;32.18;27.61;38.81;;0.3;980.26;65535;1990
3;8.228913669;44.74322989;31.93;27;38.38;;0.5;980.23;65535;1225
4;8.228898329;44.74330125;32.35;29.11;39.71;;1.1;980.29;65535;1192
5;8.228895748;44.74336985;30.58;28.24;38.1;;0.7;980.4;65535;882
6;8.228864343;44.74346499;29.84;24.96;38.57;;1.4;980.56;65535;711
7;8.228793056;44.7434505;29.34;26.75;39.89;;1.5;980.36;65535;804
8;8.228812879;44.74335682;29.9;27.01;42.63;;0.3;980.2;65535;825
9;8.228819745;44.74329002;30.12;27.24;40.79;;0.2;980.18;65535;699
10;8.228833115;44.74321578;30.38;27.03;40.9;12.9;0.1;980.28;65535;769
11;8.228849274;44.74314014;30.04;27.17;39.46;16.7;0.9;980.21;65535;709
12;8.228859738;44.7430644;30.44;25.3;41.76;14.5;0.7;980.2;65535;907
13;8.228780179;44.74305682;30.11;27.85;39.54;15;0.4;979.7;65535;941
14;8.22876776;44.74312608;30.95;28.97;40.21;15.7;0.8;979.64;65535;1182
15;8.228744652;44.74320371;31.1;27.31;40.96;16.4;0.6;979.62;65535;1850
16;8.228722881;44.74327817;31;27.58;38.78;17.8;0.7;979.61;65535;1404
17;8.228703482;44.74335533;31.18;27.93;38.05;18;0.3;979.63;65535;1620
18;8.228682827;44.74343718;31.43;29.53;38.88;15.7;0.3;979.65;65535;2070
19;8.228592397;44.74343104;31.99;28.51;41.96;;0.6;979.5;65535;1429
20;8.228612983;44.74334818;31.83;27.48;39.77;;0.8;979.36;65535;991
21;8.228634303;44.74327421;30.84;29.93;41.31;15.1;0.2;979.26;65535;1779
22;8.228652152;44.74319555;30.19;26.49;38.67;16.8;0.6;979.35;65535;1859
23;8.228677327;44.74311621;30.04;26.58;40.17;17.1;0.9;979.31;65535;1280
24;8.22868981;44.74304728;30.79;27.19;39.73;19.5;0.9;979.33;65535;903
25;8.228597831;44.74303418;;;;;;;;
26;8.228586723;44.74310391;32.34;28.23;38.91;17.3;0.5;979.04;65535;1523
27;8.228568058;44.74318404;32.86;26.58;39.19;17.7;0.3;978.98;65535;981
28;8.228543839;44.7432584;33.28;25.56;39.09;18.7;0.8;979.01;65535;1574
29;8.228529279;44.74334037;32.99;28.1;39.58;22.2;0.3;979.05;65535;1479
30;8.22850198;44.7434242;32.99;29.9;38.28;27.9;0.3;979.25;65535;990
31;8.22841868;44.74340686;32.3;25.6;38.57;14.7;0.7;979.07;65535;948
32;8.228440393;44.74332536;31.04;27.75;38.42;18.3;1.2;979;65535;860
33;8.228461304;44.74324565;30.87;28.31;39.94;16.6;1.2;978.97;65535;1192
34;8.228482771;44.74316492;30.83;24.64;40.16;19.9;1.3;978.83;65535;1352
35;8.228502152;44.74308599;30.7;27.84;41.07;17.8;1.1;978.9;65535;10703
36;8.228521854;44.74302167;30.28;25.71;41.47;17.4;0.1;978.97;65535;1372
37;8.228423653;44.74300651;31.32;29.15;41.19;20;1.3;978.51;65535;1192
38;8.228409846;44.74307357;31.41;30.53;41;16.2;1.4;978.5;65535;1015
39;8.228397485;44.74314649;31.37;30.21;39.9;11;0.5;978.46;65535;1562
40;8.228367623;44.74323256;31.49;26.58;39.08;17.3;0.2;978.52;65535;1053
41;8.228353167;44.74330537;31.77;26.74;40.18;13.3;0.8;978.45;65535;1085
42;8.228330015;44.74339212;32.61;22.04;40.71;18.7;1.9;978.63;65535;1184
43;8.228217442;44.74336929;32.2;29.97;39.44;20.5;0.9;978.4;65535;946
44;8.228240008;44.74328495;31.53;24.42;38.87;19.5;0.9;978.21;65535;1319
45;8.228258017;44.74321619;29.04;26.59;41.51;20.8;0.4;978.15;65535;1077
46;8.228285176;44.74313363;29.03;25.41;40.69;16.7;0.5;978.19;65535;930
47;8.22831003;44.74306433;29.56;27.59;41.31;12.9;0.9;978.22;65535;1062
48;8.228321121;44.74298806;29.63;26.61;40.91;19.3;1;978.28;65535;691
