CODE;LON;LAT;AIR_TEMP;CANOPY_TEMP;HUM;GROUND_HUM;WIND_SPEED;PRESSURE;IR_RAD;UV_RAD
1;8.22722251;44.74224581;26.85;26.38;44.43;;0.1;977.37;65535;1721
2;8.227210917;44.74233199;27.11;21.52;42.48;;1.3;977.54;65535;1259
3;8.227197876;44.74242771;27.11;22.18;41.52;;0.4;977.59;65535;1023
4;8.227185619;44.74252003;27.1;22.3;41.48;;0;977.62;65535;952
5;8.227178455;44.74261391;26.52;18.51;39.34;;0.4;977.74;65535;1862
6;8.227306887;44.74262002;27.33;22.81;41.31;;0.4;977.79;65535;1706
7;8.227317505;44.74253106;27.48;23.81;41.23;;0.9;977.8;65535;1654
8;8.227326731;44.74243368;28.33;23.87;39.9;;0.4;977.69;65535;1697
10;8.227341592;44.74234208;28.46;22.02;40.05;;0.4;977.69;65535;1670
10;8.227351343;44.74225419;29.43;24.57;42.23;;0.3;977.61;65535;1545
11;8.227468996;44.74227352;29.04;22.27;40.32;;0.1;977.9;65535;1229
12;8.227457294;44.74236662;29.08;20.9;41.32;;0.1;977.92;65535;948
13;8.227447271;44.742451;28.65;17.31;40.78;;0.7;977.99;65535;1146
14;8.227434704;44.74255019;28.78;21.39;39.77;;0.4;977.99;65535;785
15;8.227425083;44.74263452;28.32;25.57;39.02;;0.4;977.97;65535;1397
16;8.227547682;44.74264286;30.56;26.21;41.38;;1.2;978.23;65535;1816
17;8.227553955;44.74254832;30.74;24.92;44.19;;0.8;978.29;65535;1567
18;8.22756989;44.74245885;29.51;24.39;40.83;;0.9;978.27;65535;1780
19;8.227579171;44.74237518;29.68;23.27;40.96;;1.2;978.2;65535;1984
20;8.227591764;44.74228534;29.4;25.43;40.53;;1.1;978.22;65535;1877
21;8.227723152;44.74230224;29.73;24.29;41.14;;0.4;978.54;65535;1489
22;8.227717479;44.74238513;29.4;24.09;39.88;;0.4;978.57;65535;1291
23;8.227704264;44.74247219;30.07;20.97;41.77;;0.4;978.44;65535;2316
24;8.227697732;44.74255946;29.62;25.38;41;;0.5;978.59;65535;2180
25;8.227684484;44.74265282;30.08;24.73;41.95;;1.5;978.51;65535;2346
26;8.227866667;44.74266667;31.85;27.07;44.66;;0.5;978.86;65535;2062
27;8.227883333;44.74258333;30.24;25.3;42.56;;0.6;978.97;65535;1903
28;8.227883333;44.742483;30.7;26.8;44.09;;0.6;978.81;65535;2195
29;8.2279;44.74241667;30.89;26.29;40.87;;0.6;978.84;65535;2124
30;8.227917;44.74235;31.59;25.11;43.61;;2;978.83;65535;2395
31;8.228066667;44.74236667;30.97;26.03;44.08;;1.4;979.27;65535;2358
32;8.22805;44.74246667;30.48;24.24;44;;0.5;979.22;65535;2024
33;8.22805;44.74258333;30.78;27.04;44.36;;1;979.24;65535;1901
34;8.228033333;44.74268333;31.52;27.05;44.27;;1.4;979.03;65535;1722
35;8.22805;44.74281667;30.97;27.11;43.67;;1.4;979.28;65535;1377
