CODE;LON;LAT;AIR_TEMP;CANOPY_TEMP;HUM;GROUND_HUM;WIND_SPEED;PRESSURE;IR_RAD;UV_RAD
1;8.229067;44.74303056;30.32;31.71;40.4;;1;979.74;65535;956
2;8.229071019;44.74301946;30.78;28.43;39.55;;1.8;979.76;65535;841
3;8.229074141;44.74300961;30.71;28.73;39.31;;1;979.75;65535;911
4;8.229075915;44.74299535;30.63;26.26;38.18;;1.5;979.67;65535;914
5;8.229077486;44.74298187;30.58;30.23;38.05;;0.8;979.79;65535;1435
6;8.22908005;44.74297108;30.87;29.6;38.3;;0.4;979.69;65535;1813
7;8.229082165;44.74296106;31.02;26.17;38.01;;0.5;979.73;65535;1804
8;8.229083333;44.74295;31.52;30.95;38.93;;0.1;978.64;65535;1914
9;8.229033333;44.74303333;31.97;29.02;40.09;;0.1;979.61;65535;1723
10;8.229037854;44.74301951;32.01;29.82;39.93;;0.4;979.58;65535;828
11;8.229040036;44.74300846;31.82;30.32;38.78;;0.1;979.61;65535;1723
12;8.22904238;44.74299598;31.87;28.18;39.42;;0.4;979.55;65535;902
13;8.229045121;44.74298259;32.01;28.11;39.56;;0.3;979.55;65535;1169
14;8.229048154;44.74297117;31.78;30.99;39.33;;0.1;979.7;65535;1137
15;8.229050502;44.7429622;32.01;31.9;39.14;;0.1;979.59;65535;1688
16;8.22905;44.74295;31.92;28.48;40.18;;0.3;979.53;65535;1488
17;8.22905;44.742917;31.87;26.17;39.12;;0.7;979.57;65535;1406
